Sat Jul 30 22:16:00 2022    output.dat

         4156758 function calls (3123299 primitive calls) in 14.951 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      471    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\copyreg.py:100(__newobj__)
       32    0.000    0.000    0.002    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:483(Union)
    24/10    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3737(parseImpl)
       39    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\functools.py:35(update_wrapper)
      100    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       57    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:267(getuntil)
       78    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
    85/67    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:461(_get_literal_prefix)
       26    0.000    0.000    0.023    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2779(__init__)
       69    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      155    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\enum.py:359(__call__)
       11    0.000    0.000    0.014    0.001 {built-in method builtins.sorted}
       44    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:411(_mk_bitmap)
        9    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       69    0.000    0.000    0.018    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_compile.py:598(_code)
      407    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3581(<genexpr>)
       25    0.000    0.000    0.007    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1250(setParseAction)
       32    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\packaging\version.py:293(__str__)
      113    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\typing.py:947(__init__)
        1    0.000    0.000    0.260    0.260 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:1(<module>)
      160    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      390    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\sre_parse.py:81(groups)
       81    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
    61/11    0.000    0.000    0.004    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3288(leaveWhitespace)
    77/62    0.000    0.000    0.001    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3434(__str__)
       34    0.000    0.000    0.037    0.001 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\__init__.py:2052(find_on_path)
   131/65    0.000    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3365(<listcomp>)
       27    0.000    0.000    0.007    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1039(_trim_arity)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       69    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       52    0.000    0.000    0.000    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2826(__str__)
      104    0.000    0.000    0.003    0.000 C:\Users\Babaji\miniconda3\envs\Boids\lib\traceback.py:301(line)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
